Body,Antenna,Eyes,Mouth,Tail,Arms,Legs,Category,Phase,Type,Context,Context_Answer
1,1,1,1,3,1,3,C,MemoryTest,Study,,
1,1,1,1,2,1,2,B,MemoryTest,Study,,
1,2,1,1,1,2,1,A,MemoryTest,Study,,
,,,,,,,,Instruct,,,
,,,,,,,,Instruct,,,
1,2,1,1,5,2,5,I,GeneralTest,new cat,,
1,5,3,3,5,5,5,I,GeneralTest,new all,,
1,4,1,1,4,4,4,D,GeneralTest,Study,,
1,5,5,5,5,5,5,I,GeneralTest,new all,,
1,1,1,1,3,1,3,C,GeneralTest,Study,,
1,5,1,1,3,5,3,C,GeneralTest,new random,,
1,4,4,4,3,4,3,C,GeneralTest,new global,,
1,1,1,1,1,1,1,A,GeneralTest,Study,,
1,2,1,1,4,2,4,D,GeneralTest,Study,,
1,4,1,1,5,4,5,I,GeneralTest,new cat,,
1,5,1,1,2,5,2,B,GeneralTest,new random,,
1,4,1,1,1,4,1,A,GeneralTest,Study,,
1,1,1,1,4,1,4,D,GeneralTest,Study,,
1,1,1,1,2,1,2,B,GeneralTest,Study,,
1,2,1,1,3,2,3,C,GeneralTest,Study,,
1,2,4,4,1,2,1,A,GeneralTest,new global,,
,,,,,,,,Instruct,,,
,,,,,,,,Instruct,,,
2,3,1,1,4,3,4,G,Study,,factory_3.jpg,Factory
2,3,1,1,2,3,2,G,Study,,factory_2.jpg,Factory
2,3,1,1,3,3,3,G,Study,,factory_4.jpg,Factory
2,3,1,1,1,3,1,G,Study,,factory_1.jpg,Factory
2,3,1,1,4,3,4,G,Study,,factory_3.jpg,Factory
2,3,1,1,1,3,1,G,Study,,factory_1.jpg,Factory
2,3,1,1,2,3,2,G,Study,,factory_2.jpg,Factory
2,3,1,1,3,3,3,G,Study,,factory_4.jpg,Factory
2,3,1,1,1,3,1,G,Study,,factory_1.jpg,Factory
2,3,1,1,2,3,2,G,Study,,factory_2.jpg,Factory
2,3,1,1,4,3,4,G,Study,,factory_3.jpg,Factory
2,3,1,1,3,3,3,G,Study,,factory_4.jpg,Factory
2,3,1,1,1,3,1,G,Study,,factory_1.jpg,Factory
2,3,1,1,3,3,3,G,Study,,factory_4.jpg,Factory
2,3,1,1,4,3,4,G,Study,,factory_3.jpg,Factory
2,3,1,1,2,3,2,G,Study,,factory_2.jpg,Factory
2,3,1,1,3,3,3,G,Study,,factory_4.jpg,Factory
2,3,1,1,1,3,1,G,Study,,factory_1.jpg,Factory
2,3,1,1,4,3,4,G,Study,,factory_3.jpg,Factory
2,3,1,1,2,3,2,G,Study,,factory_2.jpg,Factory
2,2,1,1,3,2,3,F,Study,,mountain_1.jpg,Mountain
2,2,1,1,4,2,4,F,Study,,mountain_4.jpg,Mountain
2,2,1,1,2,2,2,F,Study,,mountain_3.jpg,Mountain
2,2,1,1,1,2,1,F,Study,,mountain_2.jpg,Mountain
2,2,1,1,4,2,4,F,Study,,mountain_4.jpg,Mountain
2,2,1,1,3,2,3,F,Study,,mountain_1.jpg,Mountain
2,2,1,1,2,2,2,F,Study,,mountain_3.jpg,Mountain
2,2,1,1,1,2,1,F,Study,,mountain_2.jpg,Mountain
2,2,1,1,4,2,4,F,Study,,mountain_4.jpg,Mountain
2,2,1,1,2,2,2,F,Study,,mountain_3.jpg,Mountain
2,2,1,1,1,2,1,F,Study,,mountain_2.jpg,Mountain
2,2,1,1,3,2,3,F,Study,,mountain_1.jpg,Mountain
2,2,1,1,2,2,2,F,Study,,mountain_3.jpg,Mountain
2,2,1,1,1,2,1,F,Study,,mountain_2.jpg,Mountain
2,2,1,1,3,2,3,F,Study,,mountain_1.jpg,Mountain
2,2,1,1,4,2,4,F,Study,,mountain_4.jpg,Mountain
2,2,1,1,1,2,1,F,Study,,mountain_2.jpg,Mountain
2,2,1,1,4,2,4,F,Study,,mountain_4.jpg,Mountain
2,2,1,1,2,2,2,F,Study,,mountain_3.jpg,Mountain
2,2,1,1,3,2,3,F,Study,,mountain_1.jpg,Mountain
2,4,1,1,1,4,1,H,Study,,meadow_4.jpg,Meadow
2,4,1,1,3,4,3,H,Study,,meadow_2.jpg,Meadow
2,4,1,1,4,4,4,H,Study,,meadow_3.jpg,Meadow
2,4,1,1,2,4,2,H,Study,,meadow_1.jpg,Meadow
2,4,1,1,3,4,3,H,Study,,meadow_2.jpg,Meadow
2,4,1,1,1,4,1,H,Study,,meadow_4.jpg,Meadow
2,4,1,1,4,4,4,H,Study,,meadow_3.jpg,Meadow
2,4,1,1,2,4,2,H,Study,,meadow_1.jpg,Meadow
2,4,1,1,3,4,3,H,Study,,meadow_2.jpg,Meadow
2,4,1,1,1,4,1,H,Study,,meadow_4.jpg,Meadow
2,4,1,1,2,4,2,H,Study,,meadow_1.jpg,Meadow
2,4,1,1,4,4,4,H,Study,,meadow_3.jpg,Meadow
2,4,1,1,1,4,1,H,Study,,meadow_4.jpg,Meadow
2,4,1,1,3,4,3,H,Study,,meadow_2.jpg,Meadow
2,4,1,1,2,4,2,H,Study,,meadow_1.jpg,Meadow
2,4,1,1,4,4,4,H,Study,,meadow_3.jpg,Meadow
2,4,1,1,2,4,2,H,Study,,meadow_1.jpg,Meadow
2,4,1,1,4,4,4,H,Study,,meadow_3.jpg,Meadow
2,4,1,1,3,4,3,H,Study,,meadow_2.jpg,Meadow
2,4,1,1,1,4,1,H,Study,,meadow_4.jpg,Meadow
2,1,1,1,3,1,3,E,Study,,snow_4.jpg,Snow
2,1,1,1,1,1,1,E,Study,,snow_2.jpg,Snow
2,1,1,1,4,1,4,E,Study,,snow_3.jpg,Snow
2,1,1,1,2,1,2,E,Study,,snow_1.jpg,Snow
2,1,1,1,3,1,3,E,Study,,snow_4.jpg,Snow
2,1,1,1,4,1,4,E,Study,,snow_3.jpg,Snow
2,1,1,1,1,1,1,E,Study,,snow_2.jpg,Snow
2,1,1,1,2,1,2,E,Study,,snow_1.jpg,Snow
2,1,1,1,3,1,3,E,Study,,snow_4.jpg,Snow
