Body,Antenna,Eyes,Mouth,Tail,Arms,Legs,Category,Phase,Type,Context,Context_Answer
,,,,,,,,Instruct,,,
,,,,,,,,Instruct,,,
2,4,1,1,4,4,4,H,Study,,Images/Context/snow_024.jpg,Snow
2,1,1,1,1,1,1,E,Study,,Images/Context/basketball_005.jpg,Basketball
2,2,1,1,1,2,1,F,Study,,Images/Context/desert_003.jpg,Desert
2,3,1,1,4,3,4,G,Study,,Images/Context/meadow_009.jpg,Meadow
2,2,1,1,1,2,1,F,Study,,Images/Context/desert_003.jpg,Desert
2,1,1,1,1,1,1,E,Study,,Images/Context/basketball_005.jpg,Basketball
2,4,1,1,4,4,4,H,Study,,Images/Context/snow_024.jpg,Snow
2,3,1,1,4,3,4,G,Study,,Images/Context/meadow_009.jpg,Meadow
2,2,1,1,1,2,1,F,Study,,Images/Context/desert_003.jpg,Desert
2,3,1,1,4,3,4,G,Study,,Images/Context/meadow_009.jpg,Meadow
2,4,1,1,4,4,4,H,Study,,Images/Context/snow_024.jpg,Snow
2,1,1,1,1,1,1,E,Study,,Images/Context/basketball_005.jpg,Basketball
2,3,1,1,4,3,4,G,Study,,Images/Context/meadow_009.jpg,Meadow
2,2,1,1,1,2,1,F,Study,,Images/Context/desert_003.jpg,Desert
2,4,1,1,4,4,4,H,Study,,Images/Context/snow_024.jpg,Snow
2,1,1,1,1,1,1,E,Study,,Images/Context/basketball_005.jpg,Basketball
2,4,1,1,4,4,4,H,Study,,Images/Context/snow_024.jpg,Snow
2,1,1,1,1,1,1,E,Study,,Images/Context/basketball_005.jpg,Basketball
2,3,1,1,4,3,4,G,Study,,Images/Context/meadow_009.jpg,Meadow
2,2,1,1,1,2,1,F,Study,,Images/Context/desert_003.jpg,Desert
2,3,1,1,3,3,3,G,Study,,Images/Context/meadow_012.jpg,Meadow
2,4,1,1,2,4,2,H,Study,,Images/Context/snow_022.jpg,Snow
2,1,1,1,3,1,3,E,Study,,Images/Context/basketball_008.jpg,Basketball
2,2,1,1,3,2,3,F,Study,,Images/Context/desert_004.jpg,Desert
2,4,1,1,2,4,2,H,Study,,Images/Context/snow_022.jpg,Snow
2,3,1,1,3,3,3,G,Study,,Images/Context/meadow_012.jpg,Meadow
2,1,1,1,3,1,3,E,Study,,Images/Context/basketball_008.jpg,Basketball
2,2,1,1,3,2,3,F,Study,,Images/Context/desert_004.jpg,Desert
2,1,1,1,3,1,3,E,Study,,Images/Context/basketball_008.jpg,Basketball
2,4,1,1,2,4,2,H,Study,,Images/Context/snow_022.jpg,Snow
2,3,1,1,3,3,3,G,Study,,Images/Context/meadow_012.jpg,Meadow
2,2,1,1,3,2,3,F,Study,,Images/Context/desert_004.jpg,Desert
2,3,1,1,3,3,3,G,Study,,Images/Context/meadow_012.jpg,Meadow
